volantino,insegna,categoria,prodotto,formato,quantita,unita,prezzo,prezzo_unita,dal,al,note
ekom22,Ekom,Yogurt,"Yogurt greco, magro, magro senza lattosio o intero",150 g,0.15,al kg,0.79,5.267,2026-09-22,2026-10-05,"Prima 0,99."
md22,MD,Affettati,Petto di tacchino arrosto nazionale selezione – La Fattoria,100 g,0.1,al kg,1.99,19.900,2026-09-22,2026-10-04,"Prima 2,49."
md22,MD,Asciugatutto,Carta casa 1 rotolo 160 strappi – Flou,1 rotolo,1,al rotolo,1.00,1.000,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Asciugatutto,Carta casa asciugatutto 4 rotoli 2 veli – Scala,4 rotoli,4,al rotolo,1.00,0.250,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Bagnoschiuma,Bagnodoccia – Borotalco/Neutro Roberts,900 ml (450 ml × 2),0.9,al litro,3.89,4.322,2026-09-22,2026-10-04,"Prima 4,69."
md22,MD,Bagnoschiuma,Sapone liquido antibatterico/neutro – Cliosan,500 ml,0.5,al litro,1.00,2.000,2026-09-22,2026-10-04,"Prima 1,25."
md22,MD,Bibite,Regular/zero – Coca-Cola,"1,75 litri",1.75,al litro,1.79,1.023,2026-09-22,2026-10-04,"Solo con la MD Buona Spesa Card. Senza tessera 2,49."
md22,MD,Bibite,Regular/zero – Pepsi,500 ml,0.5,al litro,0.65,1.300,2026-09-22,2026-10-04,"Prima 0,85."
md22,MD,Birra,Birra Contessa IPA,500 ml,0.5,al litro,1.69,3.380,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Birra,Birra Contessa blanche,500 ml,0.5,al litro,1.59,3.180,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Birra,Birra – Ichnusa,990 ml (330 ml × 3),0.99,al litro,2.29,2.313,2026-09-22,2026-10-04,"Prima 2,79. Speciale Sardegna."
md22,MD,Biscotti,6 Crostatine albicocca/cacao – La Dolce,240 g,0.24,al kg,1.00,4.167,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Biscotti,Biscotti Digestive – Gullón,400 g,0.4,al kg,1.00,2.500,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Biscotti,Biscotti di Fonni,350 g,0.35,al kg,1.85,5.286,2026-09-22,2026-10-04,"Prima 1,99. Speciale Sardegna."
md22,MD,Biscotti,Biscotti ripieni crema al limone/crema al cacao – Playtime,150 g,0.15,al kg,1.00,6.667,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Biscotti,Canestrellini della Lanterna,250 g,0.25,al kg,1.00,4.000,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Biscotti,Frollini con zucchero di canna – Le Bon,700 g,0.7,al kg,1.69,2.414,2026-09-22,2026-10-04,"Prima 2,19."
md22,MD,Biscotti,Mikado cioccolato bianco/fondente/al latte – Lu,70 g,0.07,al kg,1.39,19.857,2026-09-22,2026-10-04,"Prima 1,89. Il prezzo è calcolato sulla confezione più piccola, 70 g: quella da 75 g costa meno al kg."
md22,MD,Biscotti,Twin Go vaniglia – Gullón,290 g,0.29,al kg,1.15,3.966,2026-09-22,2026-10-04,"Prima 1,69."
md22,MD,Bresaola,"Bresaola punta d'anca, bassa salatura – La Delicata",80 g,0.08,al kg,2.59,32.375,2026-09-22,2026-10-04,"Prima 3,29."
md22,MD,Burro,Burro senza lattosio – Vivo Meglio,125 g,0.125,al kg,1.00,8.000,2026-09-22,2026-10-04,"Prima 1,15."
md22,MD,Carta igienica,Carta igienica 6 rotoli 3 veli – Flou,6 rotoli,6,al rotolo,3.49,0.582,2026-09-22,2026-10-04,
md22,MD,Carta igienica,Carta igienica profumata 4 rotoli 2 veli – Mega Soft,4 rotoli,4,al rotolo,1.00,0.250,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Cereali,Honey Snackies – Manusol,375 g,0.375,al kg,1.49,3.973,2026-09-22,2026-10-04,"Prima 1,79."
md22,MD,Cioccolato,Snack Cioko Più assortiti – Witor's,126 g,0.126,al kg,1.69,13.413,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Conserve,Funghi champignon trifolati – Jolie,180 g,0.18,al kg,0.99,5.500,2026-09-22,2026-10-04,"Prima 1,09."
md22,MD,Conserve,Piselli e carote – Gustato,"400 g, peso sgocciolato 265 g",0.265,al kg,1.00,3.774,2026-09-22,2026-10-04,"Prima 1,19. Prezzo calcolato sul peso sgocciolato."
md22,MD,Dentifricio,Dentifricio P – Mentadent,100 ml,0.1,al litro,1.59,15.900,2026-09-22,2026-10-04,"Solo con la MD Buona Spesa Card. Senza tessera 1,99."
md22,MD,Dentifricio,Dentifricio Total Care – Neoveda,75 ml,0.075,al litro,1.00,13.333,2026-09-22,2026-10-04,"Prima 1,49."
md22,MD,Formaggio,Blu di Capra dolce – Igor,150 g,0.15,al kg,3.39,22.600,2026-09-22,2026-10-04,"Prima 3,99."
md22,MD,Formaggio,Edamer/Gouda a fette,150 g,0.15,al kg,1.00,6.667,2026-09-22,2026-10-04,"Prima 1,35."
md22,MD,Formaggio,Formaggio fuso a fette – Malga Paradiso,400 g,0.4,al kg,1.99,4.975,2026-09-22,2026-10-04,"Prima 2,25."
md22,MD,Formaggio,Formaggio italiano grattugiato – Malga Paradiso,100 g,0.1,al kg,1.09,10.900,2026-09-22,2026-10-04,"Prima 1,39. È un formaggio grattugiato generico, non vero grana."
md22,MD,Formaggio,Pecorino sardo DOP dolce – Graziola,250 g,0.25,al kg,3.89,15.560,2026-09-22,2026-10-04,"Prima 4,09. Speciale Sardegna."
md22,MD,Formaggio,Pecorino sardo di montagna – Gennargentu,300 g,0.3,al kg,4.89,16.300,2026-09-22,2026-10-04,"Prima 4,99. Speciale Sardegna."
md22,MD,Formaggio,Primosale senza lattosio – Vivo Meglio,180 g,0.18,al kg,1.49,8.278,2026-09-22,2026-10-04,Solo con la MD Buona Spesa Card.
md22,MD,Formaggio,Provola sarda dolce,100 g,0.1,al kg,1.89,18.900,2026-09-22,2026-10-04,"Prima 2,09. Speciale Sardegna."
md22,MD,Frutta,Arance Valencia,al kg,1,al kg,1.49,1.490,2026-09-22,2026-10-04,
md22,MD,Frutta,Mele Red Delicious,al kg,1,al kg,1.39,1.390,2026-09-22,2026-10-04,
md22,MD,Frutta,Pere Williams,al kg,1,al kg,1.99,1.990,2026-09-22,2026-10-04,
md22,MD,Frutta,Susine Angeleno,al kg,1,al kg,1.39,1.390,2026-09-22,2026-10-04,
md22,MD,Frutta,Uva bianca Italia,al kg,1,al kg,1.99,1.990,2026-09-22,2026-10-04,
md22,MD,Gamberi,Code di mazzancolle tropicali sgusciate,200 g,0.2,al kg,2.99,14.950,2026-09-22,2026-10-04,"Prima 4,15."
md22,MD,Gelato,6 Coni classico/amarena/vaniglia e cacao – Le Specialità di Beppe,450 g,0.45,al kg,2.19,4.867,2026-09-22,2026-10-04,"Prima 2,89."
md22,MD,Gelato,8 Mini stecchi assortiti – Le Specialità di Beppe,250 g,0.25,al kg,2.49,9.960,2026-09-22,2026-10-04,"Prima 2,89."
md22,MD,Gelato,Affogato caffè/amarena/cacao/frutti di bosco – Buona Spesa!,500 g,0.5,al kg,1.99,3.980,2026-09-22,2026-10-04,"Prima 2,89."
md22,MD,Insalata,Insalata mista – Buona Spesa!,200 g,0.2,al kg,0.79,3.950,2026-09-22,2026-10-04,Solo con la MD Buona Spesa Card.
md22,MD,Latte,Latte microfiltrato parzialmente scremato senza lattosio – Vivo Meglio,1 litro,1,al litro,1.09,1.090,2026-09-22,2026-10-04,Solo con la MD Buona Spesa Card.
md22,MD,Latte,Latte parzialmente scremato UHT – Parmalat,1 litro,1,al litro,1.29,1.290,2026-09-22,2026-10-04,"Prima 1,65."
md22,MD,Lavatrice,"Detersivo lavatrice color+, 56 lavaggi – Omino Bianco","2,24 litri",56,a lavaggio,4.69,0.084,2026-09-22,2026-10-04,"Prima 5,59."
md22,MD,Lavatrice,"Detersivo lavatrice muschio bianco, 56 lavaggi – Omino Bianco","2,24 litri",56,a lavaggio,4.69,0.084,2026-09-22,2026-10-04,"Prima 5,59."
md22,MD,Lavatrice,Pods 15 capsule regolare – Dash,15 capsule,15,a lavaggio,3.99,0.266,2026-09-22,2026-10-04,"Prima 5,49."
md22,MD,Legumi,Ceci decorticati italiani – Naturali Bontà,300 g,0.3,al kg,1.39,4.633,2026-09-22,2026-10-04,"Prima 1,69. Secchi."
md22,MD,Merendine,10 Merendine ricoperte al cacao – Midi CiaoCiò,350 g,0.35,al kg,1.49,4.257,2026-09-22,2026-10-04,"Prima 1,69."
md22,MD,Merendine,10 Plum cake cioccolato – La Dolce,420 g,0.42,al kg,1.59,3.786,2026-09-22,2026-10-04,"Solo con la MD Buona Spesa Card. Senza tessera 2,29."
md22,MD,Merendine,2 Krapfen crema/albicocca/cioccolato – Arca,160 g,0.16,al kg,1.00,6.250,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Merendine,"Colazione Più, 10 merendine – Kinder",290 g,0.29,al kg,2.49,8.586,2026-09-22,2026-10-04,"Prima 2,89."
md22,MD,Merendine,Croissant ripieni crema al cioccolato,252 g,0.252,al kg,1.49,5.913,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Merendine,Sfogliaciok – Pasticceria del Centro,200 g,0.2,al kg,1.15,5.750,2026-09-22,2026-10-04,"Prima 1,49."
md22,MD,Miele,Miele di Acacia squeeze – Apisol,350 g,0.35,al kg,2.89,8.257,2026-09-22,2026-10-04,"Prima 3,19."
md22,MD,Mortadella,Gran Mortadella Nazionale selezione – La Fattoria,90 g,0.09,al kg,1.00,11.111,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Mozzarella,Fior di latte senza lattosio – Sabelli,300 g (100 g × 3),0.3,al kg,2.29,7.633,2026-09-22,2026-10-04,"Prima 2,59."
md22,MD,Panati,Croccantelle di filetto di merluzzo pomodoro/spinaci – Le Specialità di Beppe,400 g (4 pezzi),0.4,al kg,2.99,7.475,2026-09-22,2026-10-04,"Solo con la MD Buona Spesa Card. Senza tessera 4,49. Sono impanate, non filetto puro."
md22,MD,Pancetta,Guanciale affettato di Barbagia,100 g,0.1,al kg,1.79,17.900,2026-09-22,2026-10-04,"Prima 2,29. Speciale Sardegna."
md22,MD,Pancetta,Pancetta a cubetti dolce/affumicata – La Fattoria,160 g (80 g × 2),0.16,al kg,1.00,6.250,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Pane,Focaccia farcita prosciutto cotto/provola,390 g,0.39,al kg,2.49,6.385,2026-09-22,2026-10-04,"Prima 3,29."
md22,MD,Pane,Pane Carasau,500 g,0.5,al kg,2.49,4.980,2026-09-22,2026-10-04,"Prima 2,99. Speciale Sardegna."
md22,MD,Pane,Pane Carasau in sfoglie,200 g,0.2,al kg,2.49,12.450,2026-09-22,2026-10-04,"Prima 2,99. Speciale Sardegna."
md22,MD,Pane,Pane Guttiau,500 g,0.5,al kg,2.99,5.980,2026-09-22,2026-10-04,"Prima 3,59. Speciale Sardegna."
md22,MD,Pane,Pane Guttiau in sfoglie,200 g,0.2,al kg,2.49,12.450,2026-09-22,2026-10-04,"Prima 2,99. Speciale Sardegna."
md22,MD,Pasta,Chicche di patata – Ca' Bianca,500 g (250 g × 2),0.5,al kg,1.00,2.000,2026-09-22,2026-10-04,"Prima 1,59. Sono gnocchi di patata."
md22,MD,Pasta,Culurgiones classico,250 g,0.25,al kg,1.89,7.560,2026-09-22,2026-10-04,"Prima 1,99. Speciale Sardegna, pasta fresca ripiena."
md22,MD,Pasta,Fregola sarda media – Le Tradizionali,500 g,0.5,al kg,1.89,3.780,2026-09-22,2026-10-04,"Prima 2,39. Speciale Sardegna."
md22,MD,Pasta,Gran Tortello porcini/Tortelloni salmone/Ravioli tartufo – Ca' Bianca,250 g,0.25,al kg,1.49,5.960,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Pasta,Lasagne di semola – Pasta Reale,500 g,0.5,al kg,1.00,2.000,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Pasta,Pasta trafilata al bronzo assortita – Pasta Reale,500 g,0.5,al kg,1.00,2.000,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Pasta,Ravioli di ricotta – Cossu,400 g,0.4,al kg,1.99,4.975,2026-09-22,2026-10-04,"Prima 2,29. Speciale Sardegna."
md22,MD,Pasta,Ravioli ricotta e zafferano – Cossu,400 g,0.4,al kg,1.99,4.975,2026-09-22,2026-10-04,"Prima 2,59. Speciale Sardegna."
md22,MD,Pasta,Sfoglia di semola per lasagne – Ca' Bianca,500 g,0.5,al kg,1.00,2.000,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Patate,"Patate, rete",5 kg,5,al kg,3.25,0.650,2026-09-22,2026-10-04,
md22,MD,Pesce,Filetto di pangasio senza pelle – Le Specialità di Beppe,480 g,0.48,al kg,2.49,5.188,2026-09-22,2026-10-04,"Prima 3,59. È pangasio, pesce d'allevamento economico: non paragonabile a pesce pregiato."
md22,MD,Pizza,Pizza Margherita XXL – Il Forno di Visso,460 g,0.46,al kg,2.99,6.500,2026-09-22,2026-10-04,"Prima 3,89."
md22,MD,Pollo,Cosciotto di pollo,al kg,1,al kg,3.40,3.400,2026-09-22,2026-10-04,
md22,MD,Pollo,Petto di pollo a fette,al kg,1,al kg,8.90,8.900,2026-09-22,2026-10-04,
md22,MD,Pomodoro,Passata di pomodoro con basilico – Gustato,690 g,0.69,al kg,0.89,1.290,2026-09-22,2026-10-04,"Prima 1,09."
md22,MD,Pomodoro,Pomodori pelati – Gustato,"400 g, peso sgocciolato 240 g",0.24,al kg,0.45,1.875,2026-09-22,2026-10-04,"Prima 0,69. Prezzo calcolato sul peso sgocciolato."
md22,MD,Preparati,Hamburger di equino,220 g,0.22,al kg,2.90,13.182,2026-09-22,2026-10-04,
md22,MD,Preparati,Polpette di suino – Aia,320 g,0.32,al kg,3.90,12.188,2026-09-22,2026-10-04,
md22,MD,Prosciutto,Prosciutto cotto a cubetti – La Fattoria,160 g,0.16,al kg,1.39,8.688,2026-09-22,2026-10-04,"Prima 1,69."
md22,MD,Prosciutto,Prosciutto cotto alta qualità – Buona Spesa!,100 g,0.1,al kg,1.19,11.900,2026-09-22,2026-10-04,"Prima 1,45."
md22,MD,Prosciutto,Prosciutto crudo di Barbagia,100 g,0.1,al kg,2.69,26.900,2026-09-22,2026-10-04,"Prima 3,49. Speciale Sardegna."
md22,MD,Prosciutto,Spalla cotta – La Fattoria,100 g,0.1,al kg,1.00,10.000,2026-09-22,2026-10-04,"Prima 1,09. È spalla cotta, non prosciutto cotto vero e proprio, ma un affettato cotto comparabile."
md22,MD,Prosciutto,Speck IGP Alto Adige – Lettere dall'Italia,100 g,0.1,al kg,1.69,16.900,2026-09-22,2026-10-04,"Solo con la MD Buona Spesa Card. Senza tessera 1,85."
md22,MD,Ricotta,Ricotta in fuscella – Buona Spesa!,330 g,0.33,al kg,1.49,4.515,2026-09-22,2026-10-04,"Prima 1,79."
md22,MD,Riso,Risotto ai funghi porcini/alla milanese – Arnaboldi,175 g,0.175,al kg,1.00,5.714,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Salame,Capocollo affettato stagionato – Buona Spesa!,100 g,0.1,al kg,2.00,20.000,2026-09-22,2026-10-04,"Prima 2,59. È capocollo, cioè coppa."
md22,MD,Salame,Salame Ungherese/Napoli/Milano/Campagnolo – La Fattoria,100 g,0.1,al kg,1.00,10.000,2026-09-22,2026-10-04,
md22,MD,Salame,"Salame affettato di Barbagia, grana grossa",100 g,0.1,al kg,1.75,17.500,2026-09-22,2026-10-04,"Prima 2,29. Speciale Sardegna."
md22,MD,Salame,Salamino di Barbagia,280 g,0.28,al kg,2.99,10.679,2026-09-22,2026-10-04,"Prima 3,59. Speciale Sardegna."
md22,MD,Salmone affumicato,Salmone Norvegese affumicato – Fish&Fine,80 g,0.08,al kg,2.99,37.375,2026-09-22,2026-10-04,"Prima 3,99."
md22,MD,Spalmabili,Formaggio fresco spalmabile – Buona Spesa!,200 g,0.2,al kg,1.00,5.000,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Spalmabili,Robiola,200 g (100 g × 2),0.2,al kg,1.49,7.450,2026-09-22,2026-10-04,"Prima 2,29."
md22,MD,Spalmabili,Robiola senza lattosio – Vivo Meglio,100 g,0.1,al kg,1.00,10.000,2026-09-22,2026-10-04,"Prima 1,15."
md22,MD,Sughi,Gran Ragù assortito – Star,360 g (180 g × 2),0.36,al kg,2.19,6.083,2026-09-22,2026-10-04,"Prima 2,79."
md22,MD,Sughi,Pesto alla siciliana/Sugo funghi porcini-noci-formaggi – La Fattoria del Cavaliere,130 g,0.13,al kg,1.00,7.692,2026-09-22,2026-10-04,"Prima 1,39."
md22,MD,Sughi,Sugo pronto all'ortolana/alla puttanesca – Gustato,350 g,0.35,al kg,1.00,2.857,2026-09-22,2026-10-04,"Prima 1,29."
md22,MD,Suino,Tagliata di filetto di suino,300 g,0.3,al kg,3.95,13.167,2026-09-22,2026-10-04,
md22,MD,Tonno,Tonno all'olio d'oliva – Poseidon,210 g (70 g × 3),0.21,al kg,2.15,10.238,2026-09-22,2026-10-04,"Solo con la MD Buona Spesa Card. Senza tessera 2,59."
md22,MD,Verdura,Zucchine scure,al kg,1,al kg,1.99,1.990,2026-09-22,2026-10-04,
md22,MD,Verdure surgelate,Cavolfiore a rosette – Le Specialità di Beppe,600 g,0.6,al kg,1.19,1.983,2026-09-22,2026-10-04,"Prima 1,69."
md22,MD,Vino,Carignano del Sulcis DOC,750 ml,0.75,al litro,3.99,5.320,2026-09-22,2026-10-04,"Prima 4,89. Speciale Sardegna."
md22,MD,Vino,Cerasuolo d'Abruzzo DOC – Derio,750 ml,0.75,al litro,1.59,2.120,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Vino,Spumante Gran Cuvée brut,750 ml,0.75,al litro,1.79,2.387,2026-09-22,2026-10-04,"Prima 2,29."
md22,MD,Vino,Syrah Terre Siciliane IGP – Tenute Varvari,750 ml,0.75,al litro,1.59,2.120,2026-09-22,2026-10-04,"Prima 1,69."
md22,MD,Vino,Vermentino di Sardegna DOC,750 ml,0.75,al litro,2.69,3.587,2026-09-22,2026-10-04,"Prima 3,49. Speciale Sardegna."
md22,MD,Vino,Vino Soave DOC – Le Cortigiane,750 ml,0.75,al litro,1.59,2.120,2026-09-22,2026-10-04,"Prima 1,99."
md22,MD,Würstel,Würstel di puro suino – La Fattoria,200 g (2 pezzi da 100 g),0.2,al kg,1.00,5.000,2026-09-22,2026-10-04,
md22,MD,Yogurt,Latte di Kefir arancia e zenzero/frutti misti – Vivo Meglio,480 g,0.48,al kg,1.00,2.083,2026-09-22,2026-10-04,"Prima 1,09. È da bere, non un vasetto."
md22,MD,Yogurt,Yogurt Bifidus bianco naturale – Bontà Viva,1 kg (125 g × 8),1,al kg,1.99,1.990,2026-09-22,2026-10-04,"Prima 2,79."
md22,MD,Yogurt,Yogurt bianco magro zero grassi – Bontà Viva,500 g (125 g × 4),0.5,al kg,1.00,2.000,2026-09-22,2026-10-04,"Prima 1,19."
bennetextra24,Bennet,Acqua,"Acqua effervescente naturale – Lete, conf. 6 pezzi",3 litri (6 × 500 ml),3,al litro,1.34,0.447,2026-09-24,2026-10-04,"−30% SOLO CON LA CARTA BENNET CLUB, prima 1,92."
bennetextra24,Bennet,Acqua,"Acqua naturale – Eva, conf. 6 pezzi","9 litri (6 × 1,5 l)",9,al litro,1.76,0.196,2026-09-24,2026-10-04,"−35% SOLO CON LA CARTA BENNET CLUB, prima 2,72."
bennetextra24,Bennet,Affettati,Petto di tacchino o di pollo al forno Aequilibrium – Aia,120 g,0.12,al kg,2.00,16.667,2026-09-24,2026-10-04,"−33% SOLO CON LA CARTA BENNET CLUB, prima 2,99."
bennetextra24,Bennet,Ammorbidente,"Ammorbidente concentrato, 57 lavaggi – Chanteclair","1,14 litri",57,a lavaggio,2.39,0.042,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,99."
bennetextra24,Bennet,Bagnoschiuma,Ecoricarica sapone classico – Felce Azzurra,500 ml,0.5,al litro,1.99,3.980,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,49."
bennetextra24,Bennet,Bibite,"Bevanda alla frutta senza zuccheri aggiunti Skipper, gusti vari – Zuegg",1 litro,1,al litro,1.49,1.490,2026-09-24,2026-10-04,"−25% SOLO CON LA CARTA BENNET CLUB, prima 1,99."
bennetextra24,Bennet,Birra,Birra Fresca come alla spina – Tuborg,660 ml,0.66,al litro,0.99,1.500,2026-09-24,2026-10-04,"−27% SOLO CON LA CARTA BENNET CLUB, prima 1,36."
bennetextra24,Bennet,Birra,Birra Strong Lager – Tennent's Super,355 ml,0.355,al litro,1.59,4.479,2026-09-24,2026-10-04,"−15% SOLO CON LA CARTA BENNET CLUB, prima 1,88."
bennetextra24,Bennet,Biscotti,Biscotti Bucaneve Maxigocce XL o Ciocco integrale – Doria,300 g,0.3,al kg,1.45,4.833,2026-09-24,2026-10-04,"−14% SOLO CON LA CARTA BENNET CLUB, prima 1,69."
bennetextra24,Bennet,Biscotti,"Biscotti Ricchi Fagottini, Gocciolotti o Saracene – Balocco",700 g,0.7,al kg,2.68,3.829,2026-09-24,2026-10-04,"−18% SOLO CON LA CARTA BENNET CLUB, prima 3,28."
bennetextra24,Bennet,Biscotti,Kinderini – Kinder,225 g,0.225,al kg,2.79,12.400,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 3,49."
bennetextra24,Bennet,Bresaola,Bresaola della Valtellina IGP – Rigamonti,100 g,0.1,al kg,4.79,47.900,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 5,99."
bennetextra24,Bennet,Caffè,Caffè macinato per moka Qualità Rossa – Lavazza,500 g (2 × 250 g),0.5,al kg,7.99,15.980,2026-09-24,2026-10-04,"−33% SOLO CON LA CARTA BENNET CLUB, prima 11,94."
bennetextra24,Bennet,Caffè,"Capsule caffè Espresso Napoli, 16 capsule – Kimbo",112 g,0.112,al kg,3.99,35.625,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 4,99. Compatibili Nescafé Dolce Gusto."
bennetextra24,Bennet,Carta igienica,Carta igienica Fior di Lino Kilometrica – Tenderly,4 rotoli,4,al rotolo,2.79,0.698,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 3,49."
bennetextra24,Bennet,Dentifricio,Dentifricio 3D White Bianco Perla – Oral-B,225 ml (3 × 75 ml),0.225,al litro,3.54,15.733,2026-09-24,2026-10-04,"−40% SOLO CON LA CARTA BENNET CLUB, prima 5,90."
bennetextra24,Bennet,Dentifricio,Dentifricio Complete Freschezza Estrema – Oral-B,225 ml (3 × 75 ml),0.225,al litro,3.54,15.733,2026-09-24,2026-10-04,"−40% SOLO CON LA CARTA BENNET CLUB, prima 5,90."
bennetextra24,Bennet,Dentifricio,Dentifricio Complete Protezione e Pulizia – Oral-B,225 ml (3 × 75 ml),0.225,al litro,3.54,15.733,2026-09-24,2026-10-04,"−40% SOLO CON LA CARTA BENNET CLUB, prima 5,90."
bennetextra24,Bennet,Formaggio,Burrata Santa Lucia – Galbani,120 g,0.12,al kg,1.82,15.167,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,28. È burrata, non mozzarella."
bennetextra24,Bennet,Formaggio,"Fettine burger con cheddar, 7 fette – Kraft",175 g,0.175,al kg,1.49,8.514,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,87. Sono formaggio fuso a fette."
bennetextra24,Bennet,Formaggio,"Fettine classiche, 14 fette – Kraft",350 g,0.35,al kg,2.79,7.971,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 3,49. Sono formaggio fuso a fette."
bennetextra24,Bennet,Formaggio,"Fettine light, 7 fette – Kraft",175 g,0.175,al kg,1.59,9.086,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,99. Sono formaggio fuso a fette."
bennetextra24,Bennet,Formaggio,"Fettine senza lattosio, 7 fette – Kraft",175 g,0.175,al kg,1.49,8.514,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,87. Sono formaggio fuso a fette."
bennetextra24,Bennet,Formaggio,Formaggio Bel Paese – Galbani,al kg,1,al kg,12.90,12.900,2026-09-24,2026-10-04,Al banco.
bennetextra24,Bennet,Formaggio,GranMix classico – Ferrari,100 g,0.1,al kg,1.59,15.900,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,99. Formaggio grattugiato misto, non Grana né Parmigiano."
bennetextra24,Bennet,Formaggio,Quartirolo DOP – Cademartori,al kg,1,al kg,11.90,11.900,2026-09-24,2026-10-04,Al banco.
bennetextra24,Bennet,Formaggio,Stracciatella Santa Lucia – Galbani,140 g,0.14,al kg,1.82,13.000,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 2,28."
bennetextra24,Bennet,Formaggio,Taleggio DOP – Cademartori,al kg,1,al kg,13.90,13.900,2026-09-24,2026-10-04,Al banco.
bennetextra24,Bennet,Lavastoviglie,"Detergente lavastoviglie Gel Tutto in 1, 35 lavaggi – Pril",630 ml,35,a lavaggio,4.79,0.137,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 5,99."
bennetextra24,Bennet,Lavatrice,"Detersivo liquido capi delicati o colorati, 28 lavaggi – Perlana","1,4 litri",28,a lavaggio,4.78,0.171,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 5,98."
bennetextra24,Bennet,Lavatrice,"Detersivo liquido, 50 lavaggi – Bio Presto","2,25 litri",50,a lavaggio,7.15,0.143,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 8,94."
bennetextra24,Bennet,Marmellata,"Zero zuccheri aggiunti, gusti vari – Zuegg",220 g,0.22,al kg,2.39,10.864,2026-09-24,2026-10-04,"−25% SOLO CON LA CARTA BENNET CLUB, prima 3,19."
bennetextra24,Bennet,Merendine,"Mini Fette al cioccolato, tipi vari – Mulino Bianco",110 g,0.11,al kg,1.49,13.545,2026-09-24,2026-10-04,"−15% SOLO CON LA CARTA BENNET CLUB, prima 1,76."
bennetextra24,Bennet,Merendine,"Trancino, conf. 24 pezzi – Mulino Bianco",792 g,0.792,al kg,3.98,5.025,2026-09-24,2026-10-04,"−15% SOLO CON LA CARTA BENNET CLUB, prima 4,69."
bennetextra24,Bennet,Mozzarella,Mozzarella al basilico Santa Lucia – Galbani,125 g,0.125,al kg,1.35,10.800,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 1,69."
bennetextra24,Bennet,Mozzarella,Mozzarella per pizza Santa Lucia – Galbani,400 g,0.4,al kg,3.57,8.925,2026-09-24,2026-10-04,"−20% SOLO CON LA CARTA BENNET CLUB, prima 4,47."
bennetextra24,Bennet,Olio d'oliva,Olio extravergine di oliva Il Frantolio – Carapelli,750 ml,0.75,al litro,5.59,7.453,2026-09-24,2026-10-04,"−30% SOLO CON LA CARTA BENNET CLUB, prima 7,99."
bennetextra24,Bennet,Pane,Cracker salati o non salati in superficie – Mulino Bianco,500 g,0.5,al kg,1.75,3.500,2026-09-24,2026-10-04,"−16% SOLO CON LA CARTA BENNET CLUB, prima 2,09."
